Client ID,Name,EIN,Entity,State,Return Type,Staff
DRK001,Marin Harbor Analytics LLC (TEST),99-0000101,LLC,CA,1065,Jordan Park
DRK002,Oakline Advisory Inc (TEST),99-0000102,S-Corp,CA,1120S,Riley Chen
DRK003,Redwood Field Services LLC (TEST),99-0000103,LLC,CA,1065,Morgan Lee
DRK004,Brookline Freight LLC (TEST),99-0000104,LLC,NY,1065,Taylor Kim
DRK005,Ember Street Retail Inc (TEST),99-0000105,C-Corp,NY,1120,Parker Vu
DRK006,Silvergate Design Studio LLC (TEST),99-0000106,LLC,CA,1065,Sam Rivera
DRK007,Granite Ridge Partners (TEST),99-0000107,Partnership,,1065,Jordan Park
DRK008,Hillcrest Bakery Group LLC (TEST),99-0000108,LLC,CA,1065,Riley Chen
DRK009,Ivy Dental Management PC (TEST),99-0000109,Partnership,NY,1065,Morgan Lee
DRK010,Framehouse Films Inc (TEST),99-0000110,S-Corp,CA,1120S,Taylor Kim
DRK011,Juniper Coffee Roasters LLC (TEST),99-0000111,LLC,NY,1065,Parker Vu
DRK012,Lumen House Studios Inc (TEST),99-0000112,S-Corp,NY,1120S,Sam Rivera
DRK013,Meridian Bay Advisors (TEST),99-0000113,Partnership,CA,1065,Jordan Park
DRK014,Pacific Home Repair LLC (TEST),99-0000114,Corp (S),CA,1120S,Riley Chen
DRK015,Orbit Works Robotics Inc (TEST),99-0000115,C-Corp,CA,1120,Morgan Lee
DRK016,Park Slope Design LLC (TEST),99-0000116,LLC,NY,1065,Taylor Kim
DRK017,Queens Auto Collective LLC (TEST),99-0000117,LLC,NY,1065,Parker Vu
DRK018,Relay Grid Systems Inc (TEST),99-0000118,S-Corp,CA,1120S,Sam Rivera
DRK019,Northpoint Media Lab LLC (TEST),99-0000119,LLC,NY,1065,Jordan Park
DRK020,Tideway Marine Services Inc (TEST),99-0000120,C-Corp,NY,1120,Riley Chen
DRK021,Umbra Lighting Supply Inc (TEST),99-0000121,C-Corp,NY,1120,Morgan Lee
DRK022,Vesta Breadworks Inc (TEST),99-0000122,S-Corp,NY,1120S,Taylor Kim
DRK023,Willow Creek Services Inc (TEST),99-0000123,S-Corp,NY,1120S,Parker Vu
DRK024,Xenon Capital Strategies Inc (TEST),99-0000124,C-Corp,CA,1120,Sam Rivera
DRK025,Yarrow Valley Farms (TEST),99-0000125,Partnership,NY,1065,Jordan Park
DRK026,Zephyr Growth Marketing LLC (TEST),99-0000126,LLC,CA,1065,Riley Chen
DRK027,Anchorline Consulting Group (TEST),99-0000127,Partnership,CA,1065,Morgan Lee
DRK028,Lee Family Education Trust (TEST),99-0000128,Trust,CA,1041,Taylor Kim
DRK029,Riley Chen Studio (TEST),99-0000129,Sole Prop,NY,Sch C,Parker Vu
DRK030,Taylor Nguyen Household (TEST),99-0000130,Individual,CA,1040,Sam Rivera
